Message,Response,Sentiment
hi again,Hello! How can I help you today? Let me know if you need more help.,Positive
hi,Hello! How can I help you today?,Positive
hi?,Hello! How can I help you today?!,Positive
hi dear,Hello! How can I help you today? ❤️,Positive
hi.,Hello! How can I help you today? 😊,Positive
hi please,Hello! How can I help you today? 😊,Positive
hi now,Hello! How can I help you today?!,Positive
hi bro,Hello! How can I help you today?.,Positive
hi again,Hello! How can I help you today? Let me know if you need more help.,Positive
hi.,Hello! How can I help you today?.,Positive
hi,Hello! How can I help you today?!,Positive
hi again,Hello! How can I help you today? 😊,Positive
hi again,Hello! How can I help you today?.,Positive
hi dear,Hello! How can I help you today?!,Positive
hi.,Hello! How can I help you today?.,Positive
hi bro,Hello! How can I help you today?!,Positive
hi okay,Hello! How can I help you today?!,Positive
hi,Hello! How can I help you today?!,Positive
hi,Hello! How can I help you today? Let me know if you need more help.,Positive
hi now,Hello! How can I help you today? 😊,Positive
hi?,Hello! How can I help you today? ❤️,Positive
hi dear,Hello! How can I help you today? 👍,Positive
hi again,Hello! How can I help you today?!,Positive
hi.,Hello! How can I help you today? Let me know if you need more help.,Positive
hi now,Hello! How can I help you today? Let me know if you need more help.,Positive
hi okay,Hello! How can I help you today? Let me know if you need more help.,Positive
hi.,Hello! How can I help you today? 😊,Positive
hi.,Hello! How can I help you today?!,Positive
hi okay,Hello! How can I help you today?.,Positive
hi okay,Hello! How can I help you today? ❤️,Positive
how are you bro,"I'm doing great, thank you! How about you?.",Positive
how are you bro,"I'm doing great, thank you! How about you?!",Positive
how are you.,"I'm doing great, thank you! How about you? Let me know if you need more help.",Positive
how are you bro,"I'm doing great, thank you! How about you?!",Positive
how are you now,"I'm doing great, thank you! How about you? 👍",Positive
how are you,"I'm doing great, thank you! How about you?",Positive
how are you.,"I'm doing great, thank you! How about you?.",Positive
how are you again,"I'm doing great, thank you! How about you?!",Positive
how are you!,"I'm doing great, thank you! How about you? 👍",Positive
how are you.,"I'm doing great, thank you! How about you?.",Positive
how are you again,"I'm doing great, thank you! How about you?.",Positive
how are you,"I'm doing great, thank you! How about you?.",Positive
how are you now,"I'm doing great, thank you! How about you?.",Positive
how are you again,"I'm doing great, thank you! How about you?.",Positive
how are you please,"I'm doing great, thank you! How about you?!",Positive
how are you dear,"I'm doing great, thank you! How about you?!",Positive
how are you okay,"I'm doing great, thank you! How about you? 😊",Positive
how are you now,"I'm doing great, thank you! How about you? 👍",Positive
how are you,"I'm doing great, thank you! How about you? 👍",Positive
how are you okay,"I'm doing great, thank you! How about you? 👍",Positive
how are you again,"I'm doing great, thank you! How about you?.",Positive
how are you!,"I'm doing great, thank you! How about you? Let me know if you need more help.",Positive
how are you dear,"I'm doing great, thank you! How about you? 😊",Positive
how are you?,"I'm doing great, thank you! How about you?",Positive
how are you,"I'm doing great, thank you! How about you? Let me know if you need more help.",Positive
how are you again,"I'm doing great, thank you! How about you?",Positive
how are you now,"I'm doing great, thank you! How about you? 😊",Positive
how are you.,"I'm doing great, thank you! How about you?",Positive
how are you?,"I'm doing great, thank you! How about you?!",Positive
how are you?,"I'm doing great, thank you! How about you? 😊",Positive
good morning!,Good morning! Wishing you a productive day!!,Positive
good morning please,Good morning! Wishing you a productive day! ❤️,Positive
good morning again,Good morning! Wishing you a productive day! Let me know if you need more help.,Positive
good morning.,Good morning! Wishing you a productive day! Let me know if you need more help.,Positive
good morning again,Good morning! Wishing you a productive day! ❤️,Positive
good morning please,Good morning! Wishing you a productive day!!,Positive
good morning now,Good morning! Wishing you a productive day! 👍,Positive
good morning?,Good morning! Wishing you a productive day!.,Positive
good morning dear,Good morning! Wishing you a productive day! ❤️,Positive
good morning dear,Good morning! Wishing you a productive day!!,Positive
good morning bro,Good morning! Wishing you a productive day!!,Positive
good morning okay,Good morning! Wishing you a productive day! 😊,Positive
good morning!,Good morning! Wishing you a productive day! 👍,Positive
good morning!,Good morning! Wishing you a productive day! Let me know if you need more help.,Positive
good morning okay,Good morning! Wishing you a productive day! Let me know if you need more help.,Positive
good morning,Good morning! Wishing you a productive day!,Positive
good morning bro,Good morning! Wishing you a productive day!!,Positive
good morning now,Good morning! Wishing you a productive day! ❤️,Positive
good morning bro,Good morning! Wishing you a productive day!.,Positive
good morning again,Good morning! Wishing you a productive day! Let me know if you need more help.,Positive
good morning please,Good morning! Wishing you a productive day! 👍,Positive
good morning?,Good morning! Wishing you a productive day!!,Positive
good morning?,Good morning! Wishing you a productive day! 👍,Positive
good morning,Good morning! Wishing you a productive day!!,Positive
good morning okay,Good morning! Wishing you a productive day!!,Positive
good morning bro,Good morning! Wishing you a productive day!.,Positive
good morning please,Good morning! Wishing you a productive day!.,Positive
good morning bro,Good morning! Wishing you a productive day!,Positive
good morning again,Good morning! Wishing you a productive day! 👍,Positive
good morning okay,Good morning! Wishing you a productive day!,Positive
thank you,You're welcome! 😊 👍,Positive
thank you!,You're welcome! 😊 👍,Positive
thank you dear,You're welcome! 😊 ❤️,Positive
thank you?,You're welcome! 😊 Let me know if you need more help.,Positive
thank you dear,You're welcome! 😊 Let me know if you need more help.,Positive
thank you!,You're welcome! 😊 Let me know if you need more help.,Positive
thank you?,You're welcome! 😊!,Positive
thank you?,You're welcome! 😊.,Positive
thank you.,You're welcome! 😊!,Positive
thank you,You're welcome! 😊!,Positive
thank you.,You're welcome! 😊!,Positive
thank you please,You're welcome! 😊!,Positive
thank you!,You're welcome! 😊,Positive
thank you,You're welcome! 😊!,Positive
thank you?,You're welcome! 😊!,Positive
thank you bro,You're welcome! 😊 ❤️,Positive
thank you now,You're welcome! 😊 ❤️,Positive
thank you okay,You're welcome! 😊!,Positive
thank you!,You're welcome! 😊,Positive
thank you?,You're welcome! 😊 Let me know if you need more help.,Positive
thank you.,You're welcome! 😊 Let me know if you need more help.,Positive
thank you?,You're welcome! 😊.,Positive
thank you.,You're welcome! 😊 Let me know if you need more help.,Positive
thank you,You're welcome! 😊!,Positive
thank you again,You're welcome! 😊 😊,Positive
thank you?,You're welcome! 😊,Positive
thank you dear,You're welcome! 😊,Positive
thank you,You're welcome! 😊 😊,Positive
thank you now,You're welcome! 😊 👍,Positive
thank you.,You're welcome! 😊!,Positive
i love you again,I love you too! 💖 👍,Positive
i love you please,I love you too! 💖!,Positive
i love you now,I love you too! 💖 Let me know if you need more help.,Positive
i love you!,I love you too! 💖 Let me know if you need more help.,Positive
i love you now,I love you too! 💖,Positive
i love you please,I love you too! 💖.,Positive
i love you again,I love you too! 💖 ❤️,Positive
i love you now,I love you too! 💖!,Positive
i love you.,I love you too! 💖!,Positive
i love you dear,I love you too! 💖!,Positive
i love you okay,I love you too! 💖 😊,Positive
i love you!,I love you too! 💖!,Positive
i love you?,I love you too! 💖 ❤️,Positive
i love you?,I love you too! 💖 👍,Positive
i love you!,I love you too! 💖 Let me know if you need more help.,Positive
i love you,I love you too! 💖 😊,Positive
i love you.,I love you too! 💖 Let me know if you need more help.,Positive
i love you?,I love you too! 💖 ❤️,Positive
i love you,I love you too! 💖 Let me know if you need more help.,Positive
i love you okay,I love you too! 💖 👍,Positive
i love you bro,I love you too! 💖!,Positive
i love you again,I love you too! 💖 ❤️,Positive
i love you?,I love you too! 💖 ❤️,Positive
i love you please,I love you too! 💖,Positive
i love you dear,I love you too! 💖 👍,Positive
i love you please,I love you too! 💖 ❤️,Positive
i love you dear,I love you too! 💖!,Positive
i love you dear,I love you too! 💖 ❤️,Positive
i love you bro,I love you too! 💖,Positive
i love you?,I love you too! 💖.,Positive
project is done?,Great work! Proud of you..,Positive
project is done dear,Great work! Proud of you..,Positive
project is done,Great work! Proud of you.,Positive
project is done bro,Great work! Proud of you..,Positive
project is done again,Great work! Proud of you. 😊,Positive
project is done dear,Great work! Proud of you..,Positive
project is done please,Great work! Proud of you. Let me know if you need more help.,Positive
project is done,Great work! Proud of you.,Positive
project is done bro,Great work! Proud of you. Let me know if you need more help.,Positive
project is done now,Great work! Proud of you..,Positive
project is done now,Great work! Proud of you.,Positive
project is done bro,Great work! Proud of you. 👍,Positive
project is done please,Great work! Proud of you. ❤️,Positive
project is done?,Great work! Proud of you.,Positive
project is done!,Great work! Proud of you. 👍,Positive
project is done.,Great work! Proud of you. 😊,Positive
project is done dear,Great work! Proud of you. ❤️,Positive
project is done now,Great work! Proud of you. 👍,Positive
project is done bro,Great work! Proud of you. 😊,Positive
project is done please,Great work! Proud of you. ❤️,Positive
project is done dear,Great work! Proud of you. 😊,Positive
project is done again,Great work! Proud of you. 👍,Positive
project is done again,Great work! Proud of you..,Positive
